iter	Passed	Remaining
0	3	304
1	5	284
2	8	276
3	11	278
4	15	296
5	18	286
6	21	279
7	23	274
8	26	269
9	30	276
10	33	267
11	35	259
12	37	251
13	39	242
14	41	236
15	43	229
16	45	220
17	46	212
18	47	204
19	49	197
20	50	190
21	52	184
22	53	178
23	54	173
24	56	169
25	57	164
26	59	159
27	60	155
28	61	151
29	63	147
30	64	144
31	66	140
32	67	136
33	68	133
34	70	130
35	71	127
36	73	124
37	74	121
38	75	118
39	77	115
40	78	113
41	79	110
42	81	107
43	82	105
44	83	102
45	85	100
46	87	98
47	88	95
48	89	93
49	91	91
50	92	88
51	93	86
52	95	84
53	96	82
54	97	80
55	99	78
56	101	76
57	102	74
58	103	72
59	105	70
60	106	68
61	107	66
62	109	64
63	110	62
64	111	60
65	113	58
66	114	56
67	116	54
68	117	52
69	118	50
70	120	49
71	121	47
72	122	45
73	124	43
74	125	41
75	126	40
76	127	38
77	129	36
78	130	34
79	132	33
80	133	31
81	134	29
82	136	27
83	137	26
84	138	24
85	140	22
86	141	21
87	143	19
88	144	17
89	145	16
90	147	14
91	148	12
92	149	11
93	151	9
94	152	8
95	153	6
96	155	4
97	156	3
98	158	1
99	160	0
